Property,Value
Name,Organic Biofilm Deposits
Description,"Organic Biofilm Deposits (Proteins, Polysaccharides, Lipids, Chlorophyll) is a common contamination pattern in laser cleaning. This biological/deposit contamination affects surface integrity and requires specialized removal techniques. Commonly found on 32 different material types including metals, composites, and specialized substrates."
Category,
Subcategory,
composition,"['Proteins', 'Polysaccharides', 'Lipids', 'Chlorophyll']"
absorptionRate,"{'wavelength_1064nm': 150, 'wavelength_355nm': 4200, 'wavelength_532nm': 850}"
reflectivity,"{'wavelength_1064nm': 0.05, 'wavelength_355nm': 0.03, 'wavelength_532nm': 0.04}"
Total Compounds,4
Compound 1,Carbon Dioxide
Compound 2,Volatile Organic Compounds
Compound 3,Water Vapor
Compound 4,Carbon Particulates
laserPower,"{'max_j_cm2': 1.2, 'min_j_cm2': 0.3, 'recommended_j_cm2': 0.8}"
wavelength,"{'value': [355, 1064]}"
pulseWidth,"{'max_ns': 100, 'min_ns': 10, 'recommended_ns': 30}"
scanSpeed,"{'max': 2000, 'min': 500, 'recommended': 1000}"
spotSize,"{'max': 0.2, 'min': 0.05, 'recommended': 0.1}"
frequency,"{'max': 100, 'min': 20, 'recommended': 50}"
overlapRatio,{'value': 50}
removalRate,"{'diminishing_returns_after': 3, 'optimal_passes': 2, 'single_pass': 0.85}"
Variable Measured Count,51
